x,y,z,sound_path,class
7.51E+00,5.28E+00,9.61E-01,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220510T080000+1000_REC_4694.906_4699.406.wav,unlabelled
7.18E+00,5.60E+00,1.21E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220510T080000+1000_REC_6327.689_6332.189.wav,unlabelled
7.76E+00,6.75E+00,5.65E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220510T080000+1000_REC_7054.162_7058.662.wav,unlabelled
7.31E+00,5.55E+00,1.13E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220510T100000+1000_REC_1963.61_1968.11.wav,unlabelled
7.65E+00,5.64E+00,4.11E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220510T100000+1000_REC_3872.188_3876.688.wav,unlabelled
8.67E+00,5.23E+00,3.33E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220510T100000+1000_REC_5480.275_5484.775.wav,unlabelled
8.74E+00,5.12E+00,3.22E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220510T100000+1000_REC_6812.894_6817.394.wav,unlabelled
6.43E+00,5.80E+00,6.21E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220510T120000+1000_REC_1794.304_1798.804.wav,unlabelled
8.68E+00,5.35E+00,3.35E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220510T120000+1000_REC_21.758_26.258.wav,unlabelled
7.86E+00,5.73E+00,1.84E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220510T120000+1000_REC_5506.497_5510.997.wav,unlabelled
7.15E+00,6.49E+00,1.80E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220510T120000+1000_REC_7049.038_7053.538.wav,unlabelled
8.69E+00,5.33E+00,3.41E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220510T140000+1000_REC_234.682_239.182.wav,unlabelled
8.69E+00,5.13E+00,3.17E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220510T140000+1000_REC_3734.251_3738.751.wav,unlabelled
6.67E+00,5.89E+00,6.60E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220510T140000+1000_REC_526.947_531.447.wav,unlabelled
7.08E+00,5.72E+00,1.30E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220510T140000+1000_REC_6286.774_6291.274.wav,unlabelled
8.20E+00,5.58E+00,2.70E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220510T160000+1000_REC_2541.448_2545.948.wav,unlabelled
7.36E+00,6.05E+00,1.75E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220510T160000+1000_REC_2589.374_2593.874.wav,unlabelled
7.13E+00,5.85E+00,1.38E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220510T160000+1000_REC_5084.882_5089.382.wav,unlabelled
7.56E+00,6.09E+00,1.49E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220510T160000+1000_REC_6149.867_6154.367.wav,unlabelled
8.25E+00,5.65E+00,2.49E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220510T180000+1000_REC_2267.185_2271.685.wav,unlabelled
8.36E+00,5.35E+00,2.62E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220510T180000+1000_REC_3007.891_3012.391.wav,unlabelled
8.33E+00,5.47E+00,2.71E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220510T180000+1000_REC_3117_3121.5.wav,unlabelled
7.19E+00,5.61E+00,1.21E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220510T180000+1000_REC_4251.035_4255.535.wav,unlabelled
8.01E+00,6.12E+00,9.80E-01,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220510T200000+1000_REC_558.164_562.664.wav,unlabelled
7.86E+00,5.84E+00,1.65E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220510T200000+1000_REC_616.196_620.696.wav,unlabelled
8.71E+00,5.09E+00,3.26E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220510T200000+1000_REC_6969.743_6974.243.wav,unlabelled
8.67E+00,5.70E+00,3.54E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220510T200000+1000_REC_7019.81_7024.31.wav,unlabelled
6.69E+00,5.91E+00,6.58E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220510T220000+1000_REC_1437.764_1442.264.wav,unlabelled
6.76E+00,4.55E+00,7.89E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220510T220000+1000_REC_1952.8_1957.3.wav,unlabelled
7.77E+00,5.77E+00,2.01E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220510T220000+1000_REC_3411.802_3416.302.wav,unlabelled
7.52E+00,6.01E+00,1.41E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220510T220000+1000_REC_4806.443_4810.943.wav,unlabelled
9.64E+00,6.34E+00,4.59E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220511T000000+1000_REC_1727.094_1731.594.wav,unlabelled
8.82E+00,6.55E+00,3.38E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220511T000000+1000_REC_2188.686_2193.186.wav,unlabelled
9.71E+00,6.27E+00,4.70E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220511T000000+1000_REC_404.274_408.774.wav,unlabelled
8.16E+00,3.81E+00,6.56E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220511T000000+1000_REC_4625.307_4629.807.wav,unlabelled
8.71E+00,5.74E+00,3.76E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220511T020000+1000_REC_2976.271_2980.771.wav,unlabelled
8.98E+00,6.37E+00,4.06E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220511T020000+1000_REC_3948.431_3952.931.wav,unlabelled
9.62E+00,6.28E+00,4.65E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220511T020000+1000_REC_5584.508_5589.008.wav,unlabelled
9.31E+00,6.11E+00,4.91E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220511T020000+1000_REC_5800.289_5804.789.wav,unlabelled
